#Table: J/A+A/594/A85/tablea4.dat (http://cdsarc.cds.unistra.fr)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     |   |   |   |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       |        |       |        |       |        |       |        |       |        |       |        |       |        |       |        |     I[|     I[|     I[|     I[
     | ga|   |   |       |      I|      I|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|  IC18O|    IC18|  IC18O|    IC18|  IC18O|    IC18|  IC18O|    IC18|  IC17O|    IC17|  IC17O|    IC17|  IC17O|    IC17|  IC17O|    IC17|CI](3P1|CI](3P1|CI](3P2|CI](3P2
   Rc|mma| hc|psi|  Mdisk|870um10|870um80|O(1-0)10|O(1-0)80|O(2-1)10|O(2-1)80|O(3-2)10|O(3-2)80|O(6-5)10|O(6-5)80|O(1-0)10|O(1-0)80|O(2-1)10|O(2-1)80|O(3-2)10|O(3-2)80|O(6-5)10|O(6-5)80|(1-0)10|O(1-0)80|(2-1)10|O(2-1)80|(3-2)10|O(3-2)80|(6-5)10|O(6-5)80|(1-0)10|O(1-0)80|(2-1)10|O(2-1)80|(3-2)10|O(3-2)80|(6-5)10|O(6-5)80|-3P0)10|-3P0)80|-3P1)10|-3P1)80
-----|---|---|---|-------|-------|-------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|-------|-------|-------
 30.0|1.5|0.1|0.1|0.01000|0.02545|0.01518| 4.77174| 3.63300| 4.81989| 3.59205| 4.23839| 3.12449| 2.10056| 1.35909| 1.61606| 1.34303| 2.10924| 1.68332| 1.95777| 1.52309| 0.67398| 0.50307|0.29387| 0.20239|0.45228| 0.28620|0.44785| 0.26789|0.15382| 0.08391|0.14070| 0.09102|0.24624| 0.16023|0.25227| 0.15768|0.07363| 0.03560|1.22756|1.25631|0.51508|0.54337
 30.0|1.5|0.1|0.1|0.10000|0.08934|0.03267| 7.04923| 5.50088| 6.84182| 5.25981| 5.96029| 4.49030| 2.99790| 1.81922| 2.38902| 1.93129| 3.02009| 2.32144| 2.77817| 2.05262| 0.99610| 0.67187|0.50133| 0.34150|0.74910| 0.45461|0.72936| 0.41846|0.23326| 0.13362|0.24061| 0.16555|0.40105| 0.26417|0.40134| 0.25356|0.11118| 0.06442|1.32474|1.39186|0.50558|0.55421
 30.0|0.8|0.2|0.1|0.00001|0.00019|0.01057| 0.28517| 0.19361| 0.36475| 0.23571| 0.37462| 0.22903| 0.26683| 0.12891| 0.01411| 0.00621| 0.03986| 0.01694| 0.05655| 0.02219| 0.04310| 0.00501|0.00026| 0.00008|0.00083| 0.00022|0.00140| 0.00029|0.00169| 0.00003|0.00009| 0.00003|0.00029| 0.00008|0.00048| 0.00010|0.00059| 0.00001|0.04259|0.03588|0.03469|0.02598
 30.0|0.8|0.2|0.1|0.00010|0.00131|0.01611| 0.76479| 0.68098| 0.84317| 0.69174| 0.81545| 0.64026| 0.55507| 0.39467| 0.13598| 0.08978| 0.24789| 0.19183| 0.27665| 0.22160| 0.17431| 0.10632|0.00934| 0.00005|0.02482| 0.00011|0.03404|-0.00042|0.02809|-0.00454|0.00331| 0.00002|0.00984|-0.00010|0.01484|-0.00054|0.01284|-0.00189|0.09026|0.08433|0.06374|0.05489
 30.0|0.8|0.2|0.1|0.00050|0.00578|0.01973| 1.18050| 1.13991| 1.24189| 1.12137| 1.18223| 1.02711| 0.80510| 0.64990| 0.34917| 0.31129| 0.50728| 0.49669| 0.52406| 0.52023| 0.31943| 0.28918|0.05754| 0.02581|0.10974| 0.05669|0.12522| 0.06672|0.08284| 0.02831|0.02396| 0.00977|0.05655| 0.02401|0.07046| 0.02955|0.04374| 0.00921|0.13626|0.13090|0.09037|0.08176
 30.0|0.8|0.2|0.1|0.00100|0.01041|0.02123| 1.35866| 1.35654| 1.41776| 1.32648| 1.34209| 1.21042| 0.90989| 0.76706| 0.45588| 0.44219| 0.62694| 0.64942| 0.63598| 0.66325| 0.38481| 0.37766|0.10013| 0.05790|0.16721| 0.11295|0.18177| 0.12622|0.11259| 0.05901|0.04587| 0.02313|0.09448| 0.05278|0.10935| 0.06247|0.06126| 0.02193|0.15133|0.14742|0.09642|0.08993
 30.0|0.8|0.2|0.1|0.00500|0.03494|0.02664| 1.78327| 1.90765| 1.79248| 1.81194| 1.67232| 1.63211| 1.14405| 1.04738| 0.72978| 0.79737| 0.92070| 1.03103| 0.90730| 1.01468| 0.54265| 0.59341|0.22942| 0.18736|0.32554| 0.29132|0.33614| 0.30151|0.19415| 0.16006|0.12746| 0.08687|0.20550| 0.16383|0.21938| 0.18103|0.11228| 0.07641|0.18365|0.18873|0.10738|0.11276
 30.0|0.8|0.2|0.1|0.01000|0.05222|0.02980| 2.00164| 2.17257| 1.99274| 2.04873| 1.84811| 1.84101| 1.25270| 1.17765| 0.86623| 0.96668| 1.05749| 1.19803| 1.02975| 1.16494| 0.60794| 0.68010|0.30878| 0.27585|0.41434| 0.38925|0.41802| 0.39040|0.23366| 0.21066|0.17890| 0.13821|0.26947| 0.23660|0.27945| 0.25157|0.13766| 0.10944|0.20456|0.21673|0.11470|0.12828
 30.0|0.8|0.2|0.1|0.10000|0.13728|0.04443| 2.56329| 2.95832| 2.48156| 2.74970| 2.27179| 2.44840| 1.53536| 1.53644| 1.28965| 1.52936| 1.47751| 1.74717| 1.40477| 1.65339| 0.80423| 0.95954|0.53475| 0.59281|0.66231| 0.71971|0.64738| 0.68883|0.33821| 0.37586|0.33443| 0.36102|0.44999| 0.50286|0.44726| 0.49970|0.20480| 0.22794|0.27594|0.31441|0.13446|0.17080
 30.0|1.0|0.2|0.1|0.00001|0.00020|0.01001| 0.27628| 0.18638| 0.35580| 0.23120| 0.36284| 0.22496| 0.23982| 0.11566| 0.01393| 0.00570| 0.03847| 0.01513| 0.05325| 0.01899| 0.03830| 0.00212|0.00029| 0.00008|0.00095| 0.00023|0.00158| 0.00029|0.00192| 0.00001|0.00010| 0.00003|0.00033| 0.00008|0.00055| 0.00010|0.00069| 0.00001|0.04339|0.03769|0.03310|0.02587
 30.0|1.0|0.2|0.1|0.00010|0.00138|0.01530| 0.82220| 0.74494| 0.90055| 0.75726| 0.85798| 0.69431| 0.53178| 0.39444| 0.13739| 0.09154| 0.25257| 0.19684| 0.27762| 0.22326| 0.15859| 0.09096|0.00878| 0.00006|0.02269| 0.00001|0.03043|-0.00072|0.02369|-0.00437|0.00314| 0.00002|0.00915|-0.00012|0.01350|-0.00060|0.01110|-0.00172|0.10680|0.10192|0.06674|0.05924
 30.0|1.0|0.2|0.1|0.00050|0.00571|0.01883| 1.34031| 1.31378| 1.40898| 1.29923| 1.31697| 1.17759| 0.81452| 0.68677| 0.36999| 0.33311| 0.54497| 0.54065| 0.55637| 0.55989| 0.31065| 0.28170|0.05335| 0.02265|0.10260| 0.04994|0.11639| 0.05790|0.07133| 0.01978|0.02209| 0.00844|0.05166| 0.02057|0.06364| 0.02467|0.03693| 0.00566|0.18383|0.18149|0.10297|0.09661
 30.0|1.0|0.2|0.1|0.00100|0.00987|0.02020| 1.57624| 1.59590| 1.63296| 1.56063| 1.52229| 1.41019| 0.94944| 0.83212| 0.48670| 0.47597| 0.68720| 0.71802| 0.69245| 0.72782| 0.38399| 0.37684|0.09336| 0.05207|0.15831| 0.10366|0.17159| 0.11515|0.10055| 0.04783|0.04226| 0.02036|0.08741| 0.04690|0.10081| 0.05499|0.05381| 0.01671|0.21331|0.21221|0.11851|0.11306
 30.0|1.0|0.2|0.1|0.00500|0.03170|0.02551| 2.29531| 2.44738| 2.30628| 2.32505| 2.11373| 2.07449| 1.31155| 1.24427| 0.87868| 0.95898| 1.13379| 1.26794| 1.10418| 1.23341| 0.59930| 0.65395|0.23549| 0.18999|0.34640| 0.30350|0.35848| 0.31291|0.19391| 0.15285|0.12593| 0.08495|0.21054| 0.16493|0.22594| 0.18198|0.10831| 0.06950|0.28934|0.29694|0.14730|0.15229
 30.0|1.0|0.2|0.1|0.01000|0.04819|0.02914| 2.59721| 2.83180| 2.57352| 2.66686| 2.34204| 2.36601| 1.45755| 1.40636| 1.08101| 1.21023| 1.34352| 1.52181| 1.29123| 1.45689| 0.69337| 0.77178|0.33016| 0.29295|0.46003| 0.42401|0.46539| 0.42297|0.24306| 0.20966|0.18382| 0.14105|0.28889| 0.24918|0.30141| 0.26424|0.13819| 0.10405|0.32668|0.34200|0.15537|0.16810
 30.0|1.0|0.2|0.1|0.10000|0.14121|0.04649| 3.58092| 4.14999| 3.46245| 3.87614| 3.12358| 3.42087| 1.96593| 1.99158| 1.79713| 2.09465| 2.06352| 2.39371| 1.93959| 2.23151| 1.01236| 1.18052|0.67313| 0.72316|0.85641| 0.89183|0.83407| 0.84543|0.39378| 0.41911|0.40197| 0.41874|0.56195| 0.60366|0.55802| 0.59618|0.22749| 0.24165|0.59229|0.65032|0.26202|0.30206
 30.0|1.5|0.2|0.1|0.00001|0.00027|0.00828| 0.23368| 0.15580| 0.30161| 0.20327| 0.29635| 0.19158| 0.15848| 0.06706| 0.01187| 0.00397| 0.03064| 0.00963| 0.03996| 0.01032| 0.02540|-0.00240|0.00038| 0.00009|0.00115| 0.00021|0.00181| 0.00022|0.00206|-0.00007|0.00013| 0.00003|0.00041| 0.00007|0.00068| 0.00008|0.00086|-0.00002|0.04279|0.03855|0.02582|0.02074
 30.0|1.5|0.2|0.1|0.00010|0.00144|0.01315| 0.92717| 0.85893| 1.04182| 0.91417| 0.95482| 0.81929| 0.43482| 0.34399| 0.12205| 0.08121| 0.23153| 0.17728| 0.24639| 0.19158| 0.11044| 0.04541|0.00610|-0.00043|0.01440|-0.00152|0.01843|-0.00289|0.01384|-0.00375|0.00229|-0.00014|0.00620|-0.00058|0.00869|-0.00118|0.00695|-0.00131|0.18607|0.18559|0.08535|0.08093
 30.0|1.5|0.2|0.1|0.00050|0.00485|0.01649| 2.03770| 2.02819| 2.18338| 2.07258| 1.94318| 1.81903| 0.85411| 0.78372| 0.40454| 0.36617| 0.64838| 0.64632| 0.64395| 0.65027| 0.26562| 0.22744|0.03567| 0.01072|0.06994| 0.02497|0.07927| 0.02818|0.04462| 0.00292|0.01482| 0.00381|0.03405| 0.00914|0.04149| 0.01006|0.02283|-0.00045|0.44440|0.46261|0.17703|0.17881
 30.0|1.5|0.2|0.1|0.00100|0.00802|0.01822| 2.75065| 2.77767| 2.88068| 2.77623| 2.53321| 2.41334| 1.09892| 1.04563| 0.61755| 0.60615| 0.94898| 0.99567| 0.92114| 0.97422| 0.36768| 0.35247|0.06900| 0.03339|0.12226| 0.07020|0.13216| 0.07707|0.06968| 0.02236|0.03019| 0.01224|0.06351| 0.02881|0.07312| 0.03281|0.03591| 0.00603|0.61569|0.65423|0.23643|0.24541
 30.0|1.5|0.2|0.1|0.00500|0.02397|0.02366| 4.79388| 5.25216| 4.92025| 5.19852| 4.28006| 4.49686| 1.96368| 1.96911| 1.53324| 1.67463| 2.09111| 2.35441| 1.95743| 2.19297| 0.74627| 0.80391|0.22273| 0.17117|0.36269| 0.30309|0.37883| 0.31427|0.17359| 0.12285|0.10775| 0.06919|0.19822| 0.14702|0.21620| 0.16330|0.09010| 0.04901|1.35278|1.50578|0.52474|0.57797
